rank,word,count,freq_per_million
380,results,533,266.43832
381,established,533,266.43832
382,grand,532,265.938435
383,toronto,531,265.438551
384,women,531,265.438551
385,open,531,265.438551
386,land,530,264.938667
387,just,529,264.438782
388,head,528,263.938898
389,produced,528,263.938898
390,run,528,263.938898
391,much,528,263.938898
392,using,527,263.439014
393,next,527,263.439014
394,period,527,263.439014
395,days,526,262.93913
396,married,525,262.439245
397,business,523,261.439477
398,lost,521,260.439708
399,modern,521,260.439708
400,william,520,259.939824
401,young,520,259.939824
402,wrote,520,259.939824
403,election,519,259.43994
404,red,519,259.43994
405,society,519,259.43994
406,king,519,259.43994
407,court,515,257.440403
408,without,515,257.440403
409,release,514,256.940518
410,story,513,256.440634
411,chinese,513,256.440634
412,special,512,255.94075
413,become,510,254.940981
414,site,509,254.441097
415,sports,509,254.441097
416,events,506,252.941444
417,training,506,252.941444
418,language,505,252.44156
419,radio,504,251.941676
420,body,503,251.441791
421,david,502,250.941907
422,class,499,249.442254
423,written,498,248.94237
424,social,498,248.94237
425,present,498,248.94237
426,royal,497,248.442486
427,india,497,248.442486
428,came,496,247.942601
429,police,496,247.942601
430,committee,496,247.942601
431,al,493,246.442948
432,match,492,245.943064
433,men,491,245.44318
434,teams,491,245.44318
435,video,490,244.943296
436,given,490,244.943296
437,australian,490,244.943296
438,working,489,244.443411
439,level,489,244.443411
440,information,488,243.943527
441,returned,487,243.443643
442,per,486,242.943759
443,went,484,241.94399
444,minister,483,241.444106
445,win,482,240.944221
446,institute,481,240.444337
447,few,477,238.4448
448,total,476,237.944916
449,students,476,237.944916
450,arts,474,236.945147
451,northern,474,236.945147
452,lead,472,235.945379
453,george,471,235.445494
454,project,470,234.94561
455,recorded,470,234.94561
456,right,469,234.445726
457,full,469,234.445726
458,making,467,233.445957
459,described,465,232.446189
460,museum,465,232.446189
461,started,463,231.44642
462,films,461,230.446652
463,non,461,230.446652
464,n,461,230.446652
465,america,459,229.446883
466,wife,457,228.447114
467,england,457,228.447114
468,california,454,226.947462
469,hall,454,226.947462
470,canadian,453,226.447577
471,australia,453,226.447577
472,forces,453,226.447577
473,force,453,226.447577
474,similar,452,225.947693
475,founded,449,224.44804
476,light,449,224.44804
477,though,449,224.44804
478,board,448,223.948156
479,case,446,222.948387
480,character,446,222.948387
481,italian,445,222.448503
482,control,443,221.448735
483,we,442,220.94885
484,france,441,220.448966
485,event,441,220.448966
486,areas,441,220.448966
487,formed,441,220.448966
488,canada,440,219.949082
489,centre,440,219.949082
490,section,440,219.949082
491,act,435,217.44966
492,debut,435,217.44966
493,railway,435,217.44966
494,program,432,215.950008
495,together,431,215.450123
496,directed,430,214.950239
497,miles,430,214.950239
498,opened,430,214.950239
499,playing,430,214.950239
500,thomas,429,214.450355
501,considered,429,214.450355
502,example,428,213.95047
503,how,424,211.950933
504,upon,424,211.950933
505,l,423,211.451049
506,position,423,211.451049
507,design,423,211.451049
508,branch,423,211.451049
509,once,423,211.451049
510,appointed,423,211.451049
511,race,422,210.951165
512,chief,421,210.451281
513,rock,421,210.451281
514,others,419,209.451512
515,free,419,209.451512
516,uk,416,207.951859
517,result,416,207.951859
518,notes,416,207.951859
519,medical,416,207.951859
520,seven,416,207.951859
521,bet,416,207.951859
522,range,415,207.451975
523,human,414,206.952091
524,battle,414,206.952091
525,health,413,206.452206
526,systems,412,205.952322
527,stage,411,205.452438
528,construction,411,205.452438
529,elected,410,204.952553
530,festival,410,204.952553
531,data,410,204.952553
532,san,409,204.452669
533,management,409,204.452669
534,library,409,204.452669
535,re,407,203.452901
536,security,407,203.452901
537,championships,407,203.452901
538,come,407,203.452901
539,culture,406,202.953016
540,related,406,202.953016
541,post,405,202.453132
542,car,404,201.953248
543,edition,404,201.953248
544,eastern,404,201.953248
545,southern,403,201.453364
546,summer,403,201.453364
547,signed,403,201.453364
548,term,402,200.953479
549,personal,402,200.953479
550,indian,401,200.453595
551,continued,401,200.453595
552,green,400,199.953711
553,love,399,199.453826
